------------------------------------------------------------------------------

RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES

------------------------------------------------------------------------------



------------------------------------------------------------------------------

 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST

------------------------------------------------------------------------------

 72  24   0   0   0   0   0   0   0   0  0.000000 * 1.0000    Frequency

  0   3  22  26  15  20  10   0   0   0  0.000000 * 1.0000    Block-Frequency

 26  65   5   0   0   0   0   0   0   0  0.000000 * 1.0000    Cusum

 21  75   0   0   0   0   0   0   0   0  0.000000 * 1.0000    Cusum

  9  60  20   5   2   0   0   0   0   0  0.000000 * 1.0000    Runs

  0   6  20  23  20  15   7   2   3   0  0.000000 * 1.0000    Long-Run

 13  11   8  13  12  11  10   7   5   6  0.447593   0.9688    Rank

 96   0   0   0   0   0   0   0   0   0  0.000000 * 0.0000 *  FFT

  9  18  16  13  17  11   6   5   1   0  0.000002 * 1.0000    Aperiodic-Template

  0   1   7  20  24  17   5  15   6   1  0.000000 * 1.0000    Aperiodic-Template

  3   8  18  17  16  10  11  11   2   0  0.000005 * 1.0000    Aperiodic-Template

  0   0   0   0   1   2   3   6  13  71  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   4  14  17   6  18  31   6  0.000000 * 1.0000    Aperiodic-Template

  0   0   3  14  11  20  22  13   8   5  0.000000 * 1.0000    Aperiodic-Template

  0   0   1   2  12  20  11  19  23   8  0.000000 * 1.0000    Aperiodic-Template

  1  11   1   6  13  15  21  16   8   4  0.000001 * 1.0000    Aperiodic-Template

 21  38  24   7   4   2   0   0   0   0  0.000000 * 1.0000    Aperiodic-Template

  0   8   6  13  25  14  10   7  10   3  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   2  11  22  17  20  15   9  0.000000 * 1.0000    Aperiodic-Template

  0   2  11  21  12  14  10   9  11   6  0.000036 * 1.0000    Aperiodic-Template

  0   0  13  13  16  19  15   9   4   7  0.000001 * 1.0000    Aperiodic-Template

  0   0   0   0   3  11  24  26  20  12  0.000000 * 1.0000    Aperiodic-Template

  0   2   4   8  27  20   9  15   8   3  0.000000 * 1.0000    Aperiodic-Template

  0   0   1   4   3   5  21  20  25  17  0.000000 * 1.0000    Aperiodic-Template

 40  32  15   7   2   0   0   0   0   0  0.000000 * 1.0000    Aperiodic-Template

  0   5   5   7  15  10  23   3  24   4  0.000000 * 1.0000    Aperiodic-Template

  0  13  35  22  11   6   3   5   1   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   1   5   9  13  16  14  35   3  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   8   8  16   9   9   9  37  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   3   5  10  27  20  31  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   1   5   6  25  37  22  0.000000 * 1.0000    Aperiodic-Template

  7   6  19   8   8   9  12  18   8   1  0.000439   1.0000    Aperiodic-Template

  1   3   8  15  16  24  18   4   5   2  0.000000 * 1.0000    Aperiodic-Template

